TCGA-19-1389,TCGA-19-1787,TCGA-19-0957,TCGA-19-1390,TCGA-19-2629,TCGA-32-2632,TCGA-06-2558,TCGA-16-1045,TCGA-32-1982,TCGA-14-1034,TCGA-28-2513,TCGA-12-0821,TCGA-14-2554,TCGA-14-0789,TCGA-16-0846,TCGA-32-1970,TCGA-06-2563,TCGA-14-0817,TCGA-14-0790,TCGA-19-2620,TCGA-12-1597,TCGA-12-3652,TCGA-06-0125,TCGA-28-2509,TCGA-32-2638,TCGA-06-2562,TCGA-14-0736,TCGA-06-2567,TCGA-06-2559,TCGA-02-2485,TCGA-27-2521,TCGA-02-2486,TCGA-19-2625,TCGA-28-2514,TCGA-27-1834,TCGA-41-2571,TCGA-19-2619,TCGA-14-1823,TCGA-14-1825,TCGA-27-2523,TCGA-27-1831,TCGA-14-1829,TCGA-27-2524,TCGA-12-3650,TCGA-06-0878,TCGA-32-2634,TCGA-27-2528,TCGA-27-2526,TCGA-28-1753,TCGA-27-1830,TCGA-28-1747,TCGA-14-0787,TCGA-27-1832,TCGA-06-0129,TCGA-19-2624,TCGA-27-2519,TCGA-27-1837,TCGA-06-0882,TCGA-06-2561,TCGA-06-2569,TCGA-06-0130,TCGA-12-3653,TCGA-06-0141
PDK4,440.3430,462.9630,2752.4537,894.6779,2380.8533,353.6889,235.3535,1961.9938,1416.1386,583.0693,3388.3336,413.4831,448.8910,209.7284,1272.7794,404.9951,139.2330,732.5301,254.6075,1315.0183,1329.9527,178.0206,180.4848,416.8337,1303.4591,112.8527,414.8816,283.9231,465.8972,685.2381,397.8412,1072.5610,182.8430,133.1501,161.7729,598.8183,600.9136,105.7764,515.0502,28.7119,335.0526,613.5327,96.4216,381.8493,261.8009,760.3306,162.3037,244.9438,4713.8264,1966.1458,924.8809,246.7344,448.4588,1150.0268,255.3894,420.3445,59.9295,1009.0344,633.2394,832.5664,710.1599,238.5787,1414.7844
MRPS27,1246.7325,1653.3161,1173.9368,1593.1617,1509.2612,1600.9947,1572.7273,1558.2555,1532.7419,1321.8651,1146.3524,1472.7380,1344.7445,1288.0606,1227.5072,1330.5583,1726.4897,1946.4210,1348.8055,1416.6667,1770.1149,1978.7918,1444.2860,1533.0661,1250.0000,1211.8227,2423.9008,1369.0362,1226.6527,1667.1429,1578.5880,1490.2439,1400.2597,1309.8470,1200.5540,1434.9264,1263.7043,2503.3758,1667.2241,1487.5123,2432.8451,2714.5723,1502.6202,1503.4247,1229.5104,1779.8043,1592.5750,1691.5730,1158.6281,1338.0208,1544.8882,1158.2003,1646.1556,1133.1328,1287.2615,1513.9935,1175.0881,1329.1095,1530.1408,695.2212,1360.4951,1216.0986,1706.8789
CS,3151.2615,5041.7743,2067.0665,3621.4511,4423.7253,3337.3860,3489.8990,3358.2555,3143.2193,2925.6074,2317.1714,3201.4193,2799.4214,3438.4081,3267.6218,3291.8707,4444.6018,2334.2310,4273.7201,3054.0293,3317.1062,2478.7918,3832.9599,2905.8116,2902.9088,2982.5347,1925.5919,3277.8663,3874.6065,3829.0476,4044.0577,3435.3659,3203.0812,3706.0884,3211.0803,1865.9342,3410.7143,3091.5229,3215.7191,3145.7227,1402.9296,1734.8167,2983.0813,3212.3288,3411.8913,3747.3164,3864.3503,2328.6517,3364.4159,3625.0000,3165.0177,3373.7300,2479.8464,2439.3259,2109.9536,2990.8504,3158.6369,2199.6949,4611.8310,6205.0737,2749.3553,3947.0631,3603.6961
GRPEL1,774.9796,671.4040,553.9804,514.0938,556.0874,412.8212,638.3838,459.1900,574.5670,657.9146,483.3657,930.5736,694.7927,595.7044,891.6905,444.6621,666.9027,741.6017,526.9625,470.6960,697.0926,818.7661,467.3050,701.9038,424.5283,641.2897,933.4837,633.3015,587.6180,482.8571,645.4455,742.6829,667.3513,584.6626,591.6898,732.4778,546.0963,585.1463,608.6957,530.1868,478.6466,725.1505,1093.5769,517.9795,603.0960,573.0028,732.5083,615.7303,449.0890,495.8333,527.1772,555.8781,646.7201,440.4796,442.2898,771.7976,264.3948,546.7558,589.2958,493.2153,650.8510,471.3561,701.7454
DLAT,1319.0599,1165.3747,793.3479,709.7995,662.1811,643.2606,969.2879,832.9159,740.1774,1015.6391,908.6439,984.5062,966.1861,1006.8857,536.5788,814.8874,1272.2171,802.5741,1070.9898,932.2344,654.4219,1121.6452,870.2383,963.4269,880.3381,1115.3605,942.1871,976.3043,1036.2015,951.5286,1341.7469,1186.7744,1131.2500,1032.9500,1171.2299,516.3851,965.1163,942.9857,877.9264,1181.1642,1391.8795,1120.7514,845.6356,807.2089,1045.0838,1138.4060,1341.2661,1111.4494,763.5263,696.3542,768.5697,804.4340,1014.2125,831.1014,841.2584,1007.0183,811.9859,968.2037,981.9718,1016.1652,652.1558,753.4445,1109.2659
LRPPRC,1879.7634,2433.2472,2061.6140,1756.7925,2288.8658,2001.6579,3055.0505,2564.4860,2041.4026,2341.9345,2152.4690,2707.0373,1963.3558,2133.9229,2221.2034,2639.5690,3145.7227,2358.0439,2797.2696,1842.4908,1672.7519,2070.6941,2530.4543,2158.3166,2088.0503,2170.6225,2235.6257,1736.2661,2623.2949,1416.1905,2909.1310,1723.1707,1700.3885,2489.7690,2968.4211,1973.0973,2885.3821,3478.6197,1871.2375,2322.9105,3209.4079,2481.8530,2130.2590,1695.2055,2128.3248,3132.5164,2702.9986,2794.9438,1733.1190,3077.6042,2108.2203,2335.2685,1718.4148,2239.0704,1883.4451,2864.3703,1896.5922,2071.1017,2914.3662,5440.9440,1919.5462,2821.6099,2610.8830
DLST,1168.8118,2543.9276,1508.7241,1330.2127,1252.8616,2696.3250,1957.0707,1515.8879,2343.8952,1804.7382,1782.4855,1302.8977,1900.6750,1750.4738,1689.3983,1983.8394,3337.3451,2459.5322,1927.6451,1840.6593,2581.4740,2908.0977,2085.1497,1988.9780,2067.6101,2083.2960,1420.5186,2145.5743,2080.7975,1880.0000,2489.7015,2095.7317,1168.2488,1873.7769,1002.2161,2039.0439,2253.7375,1996.9992,1031.7726,2436.9715,3414.0706,1712.2013,2878.8741,2437.5000,1122.4582,1138.0260,2266.5397,2280.3371,1738.4780,1646.8750,2028.0933,2022.4964,1246.4717,1622.6462,1904.8994,1130.2476,1990.5993,1804.0596,1129.5775,3009.3215,1714.2857,1403.1907,1756.1602
PDHX,686.9412,560.9432,586.6249,537.5109,531.7794,371.7491,397.5909,506.8536,471.6012,466.0570,444.4398,780.2389,479.0598,625.1990,376.1318,478.3839,499.1009,464.6067,473.7065,596.0897,472.8871,759.7815,487.0686,511.3277,524.0605,570.7524,764.6223,565.9802,510.1941,529.3714,731.2700,632.2683,785.2210,637.0196,683.0471,295.0048,518.1769,470.3676,642.8094,528.1259,621.4566,908.6194,410.8699,537.8253,517.2529,570.1187,628.9196,830.7978,463.4941,370.7240,474.7869,519.7242,588.6282,490.4693,446.2754,570.1615,476.9683,617.5337,575.8873,527.0041,489.8711,495.6418,599.7587
GFM1,1011.1581,910.8527,882.2246,819.7822,912.3829,1198.6737,1215.1515,1314.6417,828.0524,1387.0530,1005.5199,1120.7569,1064.1273,980.4169,1151.8625,1109.6964,762.7139,798.2991,1010.9215,956.9597,745.7742,901.6710,1207.9853,1108.7174,902.5157,1243.6185,747.4634,1144.1930,1063.4837,1046.6667,941.0728,942.0732,774.9060,694.7764,1747.3684,734.8330,1495.4319,1020.2551,1877.9264,1146.1160,1371.5700,1313.1497,810.8998,760.2740,1312.1843,1134.2263,1350.3094,1247.1910,843.5155,1172.9167,1213.1428,1155.2975,787.6256,946.8870,985.6627,1395.5867,964.7474,1184.0901,1669.8592,672.5664,774.1104,889.0500,1641.6838
NDUFS1,1151.8987,1513.7812,1137.4046,905.2610,1097.6067,978.7234,1605.5556,1750.1558,1074.7782,1286.2532,1007.9069,1331.2833,1052.0733,1034.7442,1194.2693,1112.6347,1709.4985,1306.8746,997.2696,1120.8791,1233.9419,1403.5990,1225.0968,1148.7976,1075.0786,1442.4541,1833.1454,1481.2454,1534.1028,1174.2857,1645.9963,1331.0976,1145.2014,1721.2763,1721.3296,835.5193,1707.6412,1977.4944,1667.2241,1373.0580,2139.0551,1548.7872,1015.7209,1466.6096,1387.4389,1446.9459,1476.4398,1626.4045,1127.5456,1071.3542,1358.7395,1129.8984,813.3680,1417.8582,1116.8644,1209.3649,1198.5899,1488.6777,1633.8028,1428.2006,1154.2032,1423.4953,1617.5565
